LinkedIn_Link,Status_Connect,Message,Status Message
https://www.linkedin.com/in/gordon-m-maher-26b587a2/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/valeri-davidiouk-b8376146/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/chris-hunter-636803b7/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/reza-nikfar-75561026/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/gordon-m-maher-26b587a2/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/valeri-davidiouk-b8376146/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/chris-hunter-636803b7/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/vicky-huang-251903118/,Pending,hi,Message not sent
https://www.linkedin.com/in/johnkayeburb/,Pending,hi,Message not sent
https://www.linkedin.com/in/guillermo-obregon-132a232b/,Pending,hi,Message not sent
https://www.linkedin.com/in/chris-o-riley-83951a98/,Pending,hi,Message not sent
https://www.linkedin.com/in/adrianjonklaas/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/bill-bamber-27b163/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/todd-blaseckie-cfa-b97b407/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/mohamed-hanini-3b292213/,Connected,hi,Message not sent
https://www.linkedin.com/in/james-mcinnes-86894a2/,Connected,hi,Message sent
https://www.linkedin.com/in/alastairmcintyrecommodities/,Pending,hi,Message not sent
https://www.linkedin.com/in/brendan-yurik-54535b4a/,Pending,hi,Message not sent
https://www.linkedin.com/in/hugo-alves-5029aa10/,Connected,hi,Message sent
https://www.linkedin.com/in/jack-sadler-2974a841/,Pending,hi,Message not sent
https://www.linkedin.com/in/jonathan-price-a2404b2/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/margaret-wang-b984419/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/vishalkundi/,Pending,hi,Message not sent
https://www.linkedin.com/in/hanif-bayat-ph-d-51598439/,Connected,hi,Message sent
https://www.linkedin.com/in/rahimharji/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/harshmacwan/,Pending,hi,Message not sent
